,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.1,7,0.48264712,4103.954628775618,0.7121354457113284,0.016228495733279925,3.567631213559105
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.5,2,0.3922285,2845.4467995735104,0.9898210956702056,0.00821460647748022,2.4343085374250797
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.9,2,0.3666314,2444.0118407259115,1.0668889204031307,0.009369227738830128,2.4260299759240507
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.1,6,0.4737928,3835.2427442615367,0.8084900383890812,0.01846018407583793,3.145508593562637
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.5,7,0.36401206,2380.9124936268827,0.9369190182160904,0.015680590713911362,2.193896611155415
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.9,2,0.3569434,2227.672376645531,1.1116113659564402,0.010098020628087243,2.0608828562309696
39-features-Duval-DryA-20min-full-day_n_neighbors_50_min_dist_0.1,3,0.4840491,3450.9989786595866,0.7944060624841804,0.010541174236818003,2.768799163773431
39-features-Duval-DryA-20min-full-day_n_neighbors_50_min_dist_0.5,3,0.39577276,2631.373468977819,0.9727793763181447,0.011484699742053099,2.4153700323513125
39-features-Duval-DryA-20min-full-day_n_neighbors_50_min_dist_0.9,2,0.3691175,2476.408739924188,1.06954361179872,0.00853892866970954,2.0251681773056296
39-features-Mourachan-WetA-20min-full-day_n_neighbors_5_min_dist_0.1,9,0.64456964,5435.078790160352,0.4858675198454545,0.013354720710146435,3.0002807162888474
39-features-Mourachan-WetA-20min-full-day_n_neighbors_5_min_dist_0.5,8,0.46627757,2627.7646886618563,0.7176922828261658,0.010943908641391442,3.9358482923584104
39-features-Mourachan-WetA-20min-full-day_n_neighbors_5_min_dist_0.9,8,0.40465483,1950.5650214601205,0.841100729432968,0.01889006903959,3.593330469392382
39-features-Mourachan-WetA-20min-full-day_n_neighbors_15_min_dist_0.1,6,0.69305444,5534.012623331983,0.43058731725275784,0.4744792287045669,3.0385631293054716
39-features-Mourachan-WetA-20min-full-day_n_neighbors_15_min_dist_0.5,8,0.5379967,4617.948961087468,0.627931813989132,0.014665017411045415,2.6915831511309665
39-features-Mourachan-WetA-20min-full-day_n_neighbors_15_min_dist_0.9,7,0.4666336,2798.883533579545,0.7387251483560519,0.02728139197778699,3.4797950898618337
39-features-Mourachan-WetA-20min-full-day_n_neighbors_50_min_dist_0.1,6,0.7460825,9738.171952083343,0.32016319696814916,0.6479073226609234,3.17544314945779
39-features-Mourachan-WetA-20min-full-day_n_neighbors_50_min_dist_0.5,6,0.5848622,5270.151332074806,0.5248436161756933,0.0513192902675746,3.304907472034568
39-features-Mourachan-WetA-20min-full-day_n_neighbors_50_min_dist_0.9,2,0.574412,3289.2018949099693,0.7518533866573868,0.33454792258749627,2.593835661681042
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_5_min_dist_0.1,9,0.64646333,7987.930887737123,0.42310608591164506,0.007442586717639028,3.0046255181643136
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_5_min_dist_0.5,8,0.48395488,4595.173208565662,0.6928679544837549,0.014933038444212943,3.1882517382420383
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_5_min_dist_0.9,4,0.45701647,2367.063007373345,0.7916355246042592,0.016138152263808075,3.504783480906725
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_15_min_dist_0.1,5,0.7103023,5899.402960033662,0.40093003279995065,0.20191425803383004,2.9531714719800686
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_15_min_dist_0.5,5,0.63331795,5147.422803705396,0.46511945749312034,0.019589207544492837,3.18261806673768
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_15_min_dist_0.9,4,0.5827394,3892.1869363427786,0.5536889985728265,0.015141559125958841,2.986635589675707
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_50_min_dist_0.1,8,0.69269997,21264.277048332395,0.36082547684901056,0.008709323603837336,2.357292658080927
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_50_min_dist_0.5,3,0.6377234,3743.5488846044723,0.5596061567048217,0.5370516957119224,2.358267405604042
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_50_min_dist_0.9,3,0.5642612,3072.839238762271,0.5640391189225821,0.01734393050823173,2.6459358613433928
39-features-Undara-DryB-20min-full-day_n_neighbors_5_min_dist_0.1,8,0.5898307,6380.166596805965,0.5565667050481964,0.007671915131651139,3.558384779389386
39-features-Undara-DryB-20min-full-day_n_neighbors_5_min_dist_0.5,8,0.47520873,3663.9435446046928,0.7221940273358475,0.00944930698911795,3.6479199441844106
39-features-Undara-DryB-20min-full-day_n_neighbors_5_min_dist_0.9,7,0.39059028,2263.566811752277,0.8568475426755133,0.011562393804294923,3.922928935676998
39-features-Undara-DryB-20min-full-day_n_neighbors_15_min_dist_0.1,6,0.61042774,8489.544118872467,0.47350408268268956,0.009874845945569553,2.5624047810571833
39-features-Undara-DryB-20min-full-day_n_neighbors_15_min_dist_0.5,5,0.49300817,4139.822124276198,0.6660866455299083,0.006717799923374694,2.591564038139856
39-features-Undara-DryB-20min-full-day_n_neighbors_15_min_dist_0.9,6,0.43270835,3044.2140730609294,0.7556764934077901,0.016872552107845086,2.967887598426884
39-features-Undara-DryB-20min-full-day_n_neighbors_50_min_dist_0.1,2,0.6867345,3004.9798523140694,0.2945411269698759,1.003643310481845,2.999999998413222
39-features-Undara-DryB-20min-full-day_n_neighbors_50_min_dist_0.5,2,0.7030469,3710.258171597844,0.2859851309764746,0.9443485201424591,2.9999999989734425
39-features-Undara-DryB-20min-full-day_n_neighbors_50_min_dist_0.9,2,0.773397,6681.013705513339,0.22175101450601073,1.2850554137154462,3.000002313303297
39-features-Wambiana-WetA-20min-full-day_n_neighbors_5_min_dist_0.1,4,0.72066754,7409.455240503042,0.44312736065110836,0.39216575785017993,2.877209452532883
39-features-Wambiana-WetA-20min-full-day_n_neighbors_5_min_dist_0.5,6,0.6030902,5281.163575178963,0.5190825592112679,0.009521355330875711,2.6965659709009424
39-features-Wambiana-WetA-20min-full-day_n_neighbors_5_min_dist_0.9,9,0.4342183,3380.130555917218,0.8429713896604984,0.022838419846716796,2.714938862136815
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.1,5,0.81313217,18192.091387657674,0.30380704575697565,0.8351935505613913,2.820364389479427
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.5,4,0.6888953,7699.112083765008,0.4448882330722468,0.2626808672330658,3.243820960549497
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.9,4,0.61165816,5227.894016291847,0.6464752347170097,0.020029577423584084,2.920513184154557
39-features-Wambiana-WetA-20min-full-day_n_neighbors_50_min_dist_0.1,5,0.8541694,28688.22300852702,0.2028017950982509,1.5565069919488452,3.2304866922854947
39-features-Wambiana-WetA-20min-full-day_n_neighbors_50_min_dist_0.5,5,0.7566292,15446.574297202384,0.37595445722020643,0.5782571436076709,2.6287813143180654
39-features-Wambiana-WetA-20min-full-day_n_neighbors_50_min_dist_0.9,4,0.6800688,8667.057133886068,0.4266962082170974,0.5286831798419226,3.2299533612445677
Tarcutta-DryA-20210430_n_neighbors_5_min_dist_0.1,2,0.6062754,5992.644418938475,0.6396631700809283,0.028119363942795503,2.422502015088541
Tarcutta-DryA-20210430_n_neighbors_5_min_dist_0.5,2,0.5141977,4351.028823708782,0.7824014720008909,0.006650006891482127,3.0200749510978895
Tarcutta-DryA-20210430_n_neighbors_5_min_dist_0.9,2,0.41734898,2717.3269692135627,0.9993619079265849,0.008566197893854715,2.2513570524814295
Tarcutta-DryA-20210430_n_neighbors_15_min_dist_0.1,2,0.6667194,9740.946256612606,0.5041410140179903,0.46449713791804326,3.1376951329415643
Tarcutta-DryA-20210430_n_neighbors_15_min_dist_0.5,2,0.5058635,4239.070401762236,0.7813770792536401,0.006947864328974497,3.001056409060185
Tarcutta-DryA-20210430_n_neighbors_15_min_dist_0.9,2,0.43857196,3314.5958413921644,0.9254019070796131,0.009901449401334677,2.849128731485181
Tarcutta-DryA-20210430_n_neighbors_50_min_dist_0.1,2,0.69151837,12253.996886601111,0.4502584618991825,0.47323489374586947,3.2091168594090034
Tarcutta-DryA-20210430_n_neighbors_50_min_dist_0.5,2,0.52765924,5243.897484115376,0.7107246975256329,0.012165138416951372,3.0367555791403094
Tarcutta-DryA-20210430_n_neighbors_50_min_dist_0.9,2,0.3881228,2403.645832587553,1.0678496383084852,0.008428276714203872,1.999999993381657
